Community 1,Community 2,statistic,pvalue,holm_pvalue,significant
Midbrain (L),White Matter (R),0.7361584973904721,7.214109063551883e-07,5.338440707028393e-05,True
Hindbrain (L),Hindbrain (L),0.7400731202278854,6.76007917946332e-07,5.0700593845974896e-05,True
Hindbrain (L),White Matter (L),0.8480593150838767,1.129718627338963e-07,1.1410158136123526e-05,True
Hindbrain (L),Isocortex (R),0.5192400596489479,2.7034981599381644e-05,0.0001624943609581894,True
Hindbrain (L),Pallium (R),0.4962167251150135,3.9841286633015534e-05,0.0001624943609581894,True
Hindbrain (L),Subpallium (R),0.5657054458630004,1.2387768540152298e-05,0.0001624943609581894,True
Hindbrain (L),Diencephalon (R),0.6679501644261034,2.24343932694212e-06,0.0001146940718530025,True
Hindbrain (L),Midbrain (R),0.7322952145185074,7.692158340969508e-07,5.490227536378958e-05,True
Hindbrain (L),Hindbrain (R),0.5939463874425771,7.718806838169797e-06,0.0001624943609581894,True
Hindbrain (L),White Matter (R),0.8093309288455218,2.144152827898983e-07,2.0948337992296538e-05,True
White Matter (L),White Matter (L),0.8706052541014737,7.782855424863867e-08,8.016341087609784e-06,True
White Matter (L),Isocortex (R),0.6512634034426421,2.962908319189073e-06,0.00012924441873755481,True
White Matter (L),Pallium (R),0.7870268088161047,3.102457687679087e-07,2.8232364957879693e-05,True
White Matter (L),Subpallium (R),0.7196130304765396,9.496378602710728e-07,6.267609877789081e-05,True
White Matter (L),Diencephalon (R),0.7130356545343984,1.0593488497977003e-06,6.673897753725512e-05,True
White Matter (L),Midbrain (R),0.8089791392978202,2.1566782387593436e-07,2.0948337992296538e-05,True
White Matter (L),Hindbrain (R),0.7831169160326968,3.310145232873967e-07,2.9460292572578305e-05,True
White Matter (L),White Matter (R),0.712728465719726,1.064772688440638e-06,6.673897753725512e-05,True
Isocortex (R),Isocortex (R),0.8026770698865788,2.3939080647609497e-07,2.2742126615229023e-05,True
Isocortex (R),Pallium (R),0.7972009882403998,2.621188508875544e-07,2.437705313254256e-05,True
Isocortex (R),Subpallium (R),0.7281680024908531,8.238018926658498e-07,5.7666132486609485e-05,True
Isocortex (R),Diencephalon (R),0.6797520604270612,1.8430589480656626e-06,9.768212424748012e-05,True
Isocortex (R),Midbrain (R),0.7846980700540318,3.224528909886704e-07,2.9020760188980334e-05,True
Isocortex (R),Hindbrain (R),0.688043439169688,1.6054261139544332e-06,9.124582394849108e-05,True
Isocortex (R),White Matter (R),0.82492158521629,1.6564603587676795e-07,1.6398957551800026e-05,True
Pallium (R),Pallium (R),0.6355165191318038,3.853188792138397e-06,0.0001464211741012591,True
Pallium (R),Subpallium (R),0.7328206729281127,7.625316022748553e-07,5.490227536378958e-05,True
Pallium (R),Diencephalon (R),0.7085100755032103,1.1421337179423198e-06,6.852802307653918e-05,True
Pallium (R),Midbrain (R),0.7142086447292719,1.0388917679906624e-06,6.64890731514024e-05,True
Pallium (R),Hindbrain (R),0.5993849381970175,7.047433132746822e-06,0.0001624943609581894,True
Pallium (R),White Matter (R),0.7409069452246799,6.667133555874978e-07,5.0670215024649834e-05,True
Subpallium (R),Subpallium (R),0.6550631201337663,2.7809968744487445e-06,0.0001251448593501935,True
Subpallium (R),Diencephalon (R),0.7578770090210188,5.030569966330695e-07,4.1753730720544774e-05,True
Subpallium (R),Midbrain (R),0.6892615734198624,1.5732038611808809e-06,9.124582394849108e-05,True
Subpallium (R),Hindbrain (R),0.7236584431842464,8.878959712574263e-07,6.126482201676241e-05,True
Subpallium (R),White Matter (R),0.8522985923141452,1.0532511099216736e-07,1.0743161321201071e-05,True
Diencephalon (R),Diencephalon (R),0.6275660735683114,4.400160442861724e-06,0.00015667088698128663,True
Diencephalon (R),Midbrain (R),0.7046963009427503,1.216916126746364e-06,7.179805147803548e-05,True
Diencephalon (R),Hindbrain (R),0.5912389901829429,8.076601709310195e-06,0.0001624943609581894,True
Diencephalon (R),White Matter (R),0.7724581695306192,3.9498909097398535e-07,3.4364050914736726e-05,True
Midbrain (R),Midbrain (R),0.6137646537818005,5.541234776180317e-06,0.0001606958085092292,True
Midbrain (R),Hindbrain (R),0.6688337989486578,2.210651447478858e-06,0.0001146940718530025,True
Midbrain (R),White Matter (R),0.7224342304423896,9.061429394912204e-07,6.161771988540299e-05,True
Hindbrain (R),Hindbrain (R),0.7756086915120919,3.7488610637926805e-07,3.298997736137559e-05,True
Hindbrain (R),White Matter (R),0.8722919838207237,7.568970173790935e-08,7.871728980742573e-06,True
White Matter (R),White Matter (R),0.8879356727786666,5.84556026612623e-08,6.137838279432541e-06,True
