ROI,pvalue,holm_pvalue,significant
307,8.130840010908761e-05,0.0032523360043635046,True
103,8.16048642290726e-05,0.0032523360043635046,True
203,8.8803008827936e-05,0.003374514335461568,True
201,8.911442473797424e-05,0.003374514335461568,True
315,0.0001041223670891971,0.0037484052152110953,True
172,0.00010811681823525714,0.003784088638234,True
190,0.00012327975126052364,0.004191511542857804,True
49,0.0001269515043454845,0.004191511542857804,True
280,0.00016095808530495453,0.005150658729758545,True
196,0.00019540087941284816,0.006041190390206641,True
332,0.00019487710936150456,0.006041190390206641,True
297,0.00022048937190796518,0.00639419178533099,True
306,0.0004945815037363123,0.013848282104616746,True
93,0.0005795294351112667,0.015647294748004203,True
35,0.0006351438968794194,0.016513741318864905,True
224,0.0007755301806054622,0.019388254515136556,True
269,0.0008376295922811022,0.020103110214746454,True
43,0.0010358969999796277,0.020518936638506634,True
125,0.0009756234932670924,0.020518936638506634,True
140,0.0009232561573657868,0.020518936638506634,True
215,0.000897802828374507,0.020518936638506634,True
138,0.0008921276799350711,0.020518936638506634,True
23,0.001158844780188436,0.020859206043391847,True
278,0.0012974591363916622,0.02205680531865826,True
99,0.0013101134929104446,0.02205680531865826,True
331,0.0013272897774423212,0.02205680531865826,True
98,0.0014060197351032473,0.02205680531865826,True
112,0.00183067358717514,0.02379875663327682,True
128,0.0020512622316157395,0.024615146779388874,True
312,0.004539164308575488,0.04993080739433037,True
114,0.00501401171881859,0.0501401171881859,False
46,0.005200386961246524,0.0501401171881859,False
141,0.00545839747591809,0.0501401171881859,False
189,0.005521061263464134,0.0501401171881859,False
13,0.006779952040558406,0.0501401171881859,False
149,0.00886725770649085,0.0501401171881859,False
18,0.012579558714830397,0.05031823485932159,False
212,0.021379583078652377,0.06413874923595714,False
58,0.043568263568772206,0.08713652713754441,False
184,0.14776962275830638,0.14776962275830638,False
