,omni,mdmr,stats,nbs_dcorr,nbs_ttest,node,label,n_signal_vertices,generating_func
36,2.985768632671127e-07,0.1258806880441994,3.6795824066021056e-15,0.61,0.0,36,1,25,generate_graphs_1
37,0.0004398086670796914,0.017388692118995186,2.0226941152678474e-08,0.14,1.0,37,1,25,generate_graphs_1
38,3.7041737673720858e-06,0.013764773959813232,1.4591262303174015e-10,0.14,0.88,38,1,25,generate_graphs_1
39,4.820758476601377e-06,0.0022226776049885243,2.5419591649483006e-21,0.14,0.0,39,1,25,generate_graphs_1
40,8.51611180340769e-05,0.24965448212363583,2.9562491619225023e-13,1.0,1.0,40,1,25,generate_graphs_1
41,4.880936060436315e-05,0.11482647674060534,5.632685669090037e-10,1.0,1.0,41,1,25,generate_graphs_1
42,4.969062653528836e-08,0.009489671509268867,1.2052851000654715e-12,1.0,0.88,42,1,25,generate_graphs_1
43,0.00033604565745211953,0.20109607423776507,1.0124754149535571e-17,1.0,1.0,43,1,25,generate_graphs_1
44,2.2242339655096666e-06,0.0005004830620970685,1.4179175211325721e-08,1.0,0.88,44,1,25,generate_graphs_1
45,1.1332162299679574e-08,0.004269033660253285,5.325706206291695e-14,1.0,0.0,45,1,25,generate_graphs_1
46,3.354346598244258e-07,0.09499008319225706,9.119916237869323e-16,1.0,0.0,46,1,25,generate_graphs_1
47,7.998290005844663e-09,0.03001893262301406,2.5456361192802678e-15,0.14,1.0,47,1,25,generate_graphs_1
48,1.8009542345245655e-05,0.07885723596139767,1.8783844731463752e-19,1.0,1.0,48,1,25,generate_graphs_1
49,2.4891772427660353e-05,0.07178507468707933,2.97326838344241e-14,1.0,0.0,49,1,25,generate_graphs_1
